database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub
CHEBI:17126	C7H15NO3	C[N+](C)(C)CC(O)CC([O-])=O	"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3"	Carnitine																
CHEBI:68830	C17H33NO4	O(C(C[N+](C)(C)C)CC([O-])=O)C(CCCCCCCCC)=O	"InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3"	Decanoylcarnitine																
CHEBI:86063	C17H31NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Decenoylcarnitine																
CHEBI:86064	C17H29NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Decadienylcarnitine																
CHEBI:73054	C19H37NO4	CCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3"	Dodecanoylcarnitine																
CHEBI:74121	C19H35NO6	C[N+](C)(C)C(CCC(=O)[O-])OC(=O)CCCCCCCCCCC(=O)O	"InChI=1S/C19H35NO6/c1-20(2,3)16(14-15-18(23)24)26-19(25)13-11-9-7-5-4-6-8-10-12-17(21)22/h16H,4-15H2,1-3H3,(H-,21,22,23,24)/t16-/m0/s1"	Dodecanedioylcarnitine																
CHEBI:86065	C19H35NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Dodecenoylcarnitine																
CHEBI:73061	C21H41NO4	CCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3"	Tetradecanoylcarnitine																
CHEBI:86066	C21H39NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Tetradecenoylcarnitine																
CHEBI:86067	C21H39NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxytetradecenoylcarnitine																
CHEBI:86069	C21H37NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Tetradecadienylcarnitine																
CHEBI:86070	C21H37NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxytetradecadienylcarnitine																
CHEBI:73067	C23H45NO4	CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3/t21-/m1/s1"	Hexadecanoylcarnitine																
CHEBI:86030	C23H45NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxyhexadecanoylcarnitine																
CHEBI:86032	C23H43NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hexadecenoylcarnitine																
CHEBI:86033	C23H43NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxyhexadecenoylcarnitine																
CHEBI:86035	C23H41NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hexadecadienylcarnitine																
CHEBI:86036	C23H41NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxyhexadecadienylcarnitine																
CHEBI:73074	C25H49NO4	CCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3"	Octadecanoylcarnitine																
CHEBI:86475	C25H47NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Octadecenoylcarnitine																
CHEBI:86039	C25H47NO5	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Hydroxyoctadecenoylcarnitine																
CHEBI:86480	C25H45NO4	C[N+](C)(C)CC(CC([O-])=O)OC([*])=O		Octadecadienylcarnitine																
CHEBI:73024	C9H17NO4	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3"	Acetylcarnitine																
CHEBI:28867	C10H19NO4	CCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3/t8-/m1/s1"	Propionylcarnitine																
