database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub
CHEBI:16449	C3H7NO2	CC(N)C(O)=O	"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)"	Alanine																
CHEBI:29016	C6H14N4O2	NC(CCCNC(N)=N)C(O)=O	"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)"	Arginine																
CHEBI:22653	C4H8N2O3	NC(CC(N)=O)C(O)=O	"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)"	Asparagine																
CHEBI:22660	C4H7NO4	NC(CC(O)=O)C(O)=O	"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)"	Aspartate																
CHEBI:18211	C6H13N3O3	NC(CCCNC(N)=O)C(O)=O	"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)"	Citrulline																
CHEBI:18237	C5H9NO4	NC(CCC(O)=O)C(O)=O	"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)"	Glutamate																
CHEBI:28300	C5H10N2O3	NC(CCC(N)=O)C(O)=O	"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)"	Glutamine																
CHEBI:15428	C2H5NO2	NCC(O)=O	"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)"	Glycine																
CHEBI:27570	C6H9N3O2	NC(Cc1c[nH]cn1)C(O)=O	"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)"	Histidine																
CHEBI:24898	C6H13NO2			Isoleucine																
CHEBI:24898	C6H13NO2			Isoleucine																
CHEBI:25017	C6H13NO2	CC(C)CC(N)C(O)=O	"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)"	Leucine																
CHEBI:25094	C6H14N2O2	NCCCCC(N)C(O)=O	"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)"	Lysine																
CHEBI:16811	C5H11NO2S	CSCCC(N)C(O)=O	"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)"	Methionine																
CHEBI:18257	C5H12N2O2	NCCCC(N)C(O)=O	"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)"	Ornithine																
CHEBI:28044	C9H11NO2	NC(Cc1ccccc1)C(O)=O	"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)"	Phenylalanine																
CHEBI:26271	C5H9NO2	OC(=O)C1CCCN1	"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)"	Proline																
