Sample Name	Protocol REF	Extract Name	Characteristics[Stuff Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[library strategy]	Term Source REF	Term Accession Number	Parameter Value[library selection]	Term Source REF	Term Accession Number	Parameter Value[library source]	Term Source REF	Term Accession Number	Parameter Value[library orientation]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Protocol REF	Parameter Value[sequencing instrument]	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Comment[checksum type]	Comment[checksum]	Comment[export]	Protocol REF	Parameter Value[variant calling software]	Term Source REF	Term Accession Number	Parameter Value[genome assembly accession number]	Data Transformation Name	Derived Data File	Comment[checksum type]	Comment[checksum]	Comment[export]
culture-1-sample-0	gDNA extraction	extract-cnv-seq-0	gDNA	OBI	https://purl.org/OBOfoundry/obi:123414	gDNA library preparation	WGS	OBI	https://purl.org/	OTHER	OBI	https://purl.org/	GENOMICS	OBI	https://purl.org/	SINGLE	OBI	https://purl.org/	cnv-library-name-0	Not Applicable	nucleic acid sequencing	AB SOLiD 5500xl	OBI	https://purl.org/	assay-name-cnv-seq-0	cnv-seq-data-0.fastq	md5	d41d8cd98f00b204e9800998ecf8427e	yes	CNV analysis	VCF caller	OBI	https://purl.org/	EMBL1234135	VCF-DT	cnv-seq-derived-data-0.vcf	md5	d41d8cd98f00b204e9800998ecf8427e	yes
culture-1-sample-0	gDNA extraction	extract-cnv-seq-0	gDNA	OBI	https://purl.org/OBOfoundry/obi:123414	gDNA library preparation	WGS	OBI	https://purl.org/	OTHER	OBI	https://purl.org/	GENOMICS	OBI	https://purl.org/	SINGLE	OBI	https://purl.org/	cnv-library-name-0	Not Applicable	nucleic acid sequencing	AB SOLiD 5500xl	OBI	https://purl.org/	assay-name-cnv-seq-0	cnv-seq-data-0.fastq	md5	d41d8cd98f00b204e9800998ecf8427e	yes	CNV analysis	VCF caller	OBI	https://purl.org/	EMBL1234135	VCF-DT	cnv-seq-derived-data-2.vcf	md5	d41d8cd98f00b204e9800998ecf8427e	yes
culture-1-sample-0	gDNA extraction	extract-cnv-seq-0	gDNA	OBI	https://purl.org/OBOfoundry/obi:123414	gDNA library preparation	WGS	OBI	https://purl.org/	OTHER	OBI	https://purl.org/	GENOMICS	OBI	https://purl.org/	SINGLE	OBI	https://purl.org/	cnv-library-name-0	Not Applicable	nucleic acid sequencing	AB SOLiD 5500xl	OBI	https://purl.org/	assay-name-cnv-seq-0	cnv-seq-data-0.fastq	md5	d41d8cd98f00b204e9800998ecf8427e	yes	CNV analysis	VCF caller	OBI	https://purl.org/	EMBL1234135	VCF-DT	cnv-seq-derived-data-1.vcf	md5	d41d8cd98f00b204e9800998ecf8427e	yes
culture-1-sample-0	gDNA extraction	extract-cnv-seq-0	gDNA	OBI	https://purl.org/OBOfoundry/obi:123414	gDNA library preparation	WGS	OBI	https://purl.org/	OTHER	OBI	https://purl.org/	GENOMICS	OBI	https://purl.org/	SINGLE	OBI	https://purl.org/	cnv-library-name-0	Not Applicable	nucleic acid sequencing	AB SOLiD 5500xl	OBI	https://purl.org/	assay-name-cnv-seq-0	cnv-seq-data-0.fastq	md5	d41d8cd98f00b204e9800998ecf8427e	yes	CNV analysis	VCF caller	OBI	https://purl.org/	EMBL1234135	VCF-DT	cnv-seq-derived-data-3.vcf	md5	d41d8cd98f00b204e9800998ecf8427e	yes
culture-1-sample-1	gDNA extraction	extract-cnv-seq-2	gDNA	OBI	https://purl.org/OBOfoundry/obi:123414	gDNA library preparation	WGS	OBI	https://purl.org/	OTHER	OBI	https://purl.org/	GENOMICS	OBI	https://purl.org/	SINGLE	OBI	https://purl.org/	cnv-library-name-2	Not Applicable	nucleic acid sequencing	AB SOLiD 5500xl	OBI	https://purl.org/	assay-name-cnv-seq-2	cnv-seq-data-2.fastq	md5	d41d8cd98f00b204e9800998ecf8427e	yes	CNV analysis	VCF caller	OBI	https://purl.org/	EMBL1234135	VCF-DT	cnv-seq-derived-data-0.vcf	md5	d41d8cd98f00b204e9800998ecf8427e	yes
culture-1-sample-1	gDNA extraction	extract-cnv-seq-2	gDNA	OBI	https://purl.org/OBOfoundry/obi:123414	gDNA library preparation	WGS	OBI	https://purl.org/	OTHER	OBI	https://purl.org/	GENOMICS	OBI	https://purl.org/	SINGLE	OBI	https://purl.org/	cnv-library-name-2	Not Applicable	nucleic acid sequencing	AB SOLiD 5500xl	OBI	https://purl.org/	assay-name-cnv-seq-2	cnv-seq-data-2.fastq	md5	d41d8cd98f00b204e9800998ecf8427e	yes	CNV analysis	VCF caller	OBI	https://purl.org/	EMBL1234135	VCF-DT	cnv-seq-derived-data-2.vcf	md5	d41d8cd98f00b204e9800998ecf8427e	yes
culture-1-sample-1	gDNA extraction	extract-cnv-seq-2	gDNA	OBI	https://purl.org/OBOfoundry/obi:123414	gDNA library preparation	WGS	OBI	https://purl.org/	OTHER	OBI	https://purl.org/	GENOMICS	OBI	https://purl.org/	SINGLE	OBI	https://purl.org/	cnv-library-name-2	Not Applicable	nucleic acid sequencing	AB SOLiD 5500xl	OBI	https://purl.org/	assay-name-cnv-seq-2	cnv-seq-data-2.fastq	md5	d41d8cd98f00b204e9800998ecf8427e	yes	CNV analysis	VCF caller	OBI	https://purl.org/	EMBL1234135	VCF-DT	cnv-seq-derived-data-1.vcf	md5	d41d8cd98f00b204e9800998ecf8427e	yes
culture-1-sample-1	gDNA extraction	extract-cnv-seq-2	gDNA	OBI	https://purl.org/OBOfoundry/obi:123414	gDNA library preparation	WGS	OBI	https://purl.org/	OTHER	OBI	https://purl.org/	GENOMICS	OBI	https://purl.org/	SINGLE	OBI	https://purl.org/	cnv-library-name-2	Not Applicable	nucleic acid sequencing	AB SOLiD 5500xl	OBI	https://purl.org/	assay-name-cnv-seq-2	cnv-seq-data-2.fastq	md5	d41d8cd98f00b204e9800998ecf8427e	yes	CNV analysis	VCF caller	OBI	https://purl.org/	EMBL1234135	VCF-DT	cnv-seq-derived-data-3.vcf	md5	d41d8cd98f00b204e9800998ecf8427e	yes
culture-2-sample-0	gDNA extraction	extract-cnv-seq-1	gDNA	OBI	https://purl.org/OBOfoundry/obi:123414	gDNA library preparation	WGS	OBI	https://purl.org/	OTHER	OBI	https://purl.org/	GENOMICS	OBI	https://purl.org/	SINGLE	OBI	https://purl.org/	cnv-library-name-1	Not Applicable	nucleic acid sequencing	AB SOLiD 5500xl	OBI	https://purl.org/	assay-name-cnv-seq-1	cnv-seq-data-1.fastq	md5	d41d8cd98f00b204e9800998ecf8427e	yes	CNV analysis	VCF caller	OBI	https://purl.org/	EMBL1234135	VCF-DT	cnv-seq-derived-data-0.vcf	md5	d41d8cd98f00b204e9800998ecf8427e	yes
culture-2-sample-0	gDNA extraction	extract-cnv-seq-1	gDNA	OBI	https://purl.org/OBOfoundry/obi:123414	gDNA library preparation	WGS	OBI	https://purl.org/	OTHER	OBI	https://purl.org/	GENOMICS	OBI	https://purl.org/	SINGLE	OBI	https://purl.org/	cnv-library-name-1	Not Applicable	nucleic acid sequencing	AB SOLiD 5500xl	OBI	https://purl.org/	assay-name-cnv-seq-1	cnv-seq-data-1.fastq	md5	d41d8cd98f00b204e9800998ecf8427e	yes	CNV analysis	VCF caller	OBI	https://purl.org/	EMBL1234135	VCF-DT	cnv-seq-derived-data-2.vcf	md5	d41d8cd98f00b204e9800998ecf8427e	yes
