Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[chromatography instrument]	Parameter Value[chromatography column]	Parameter Value[elution program]	Parameter Value[injection mode]	Parameter Value[mass spectrometry instrument]	Parameter Value[scan polarity]	Parameter Value[randomized run order]	Raw Spectral Data File
studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.657750	rick	studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#0_sample#0_liverextract-24	LC-positive mass spectrometry	2017-06-07 14:15:07.657857	louis	assay-name-24_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	positive	22	acquired-data-24_platform-LC_run-1.mzml.gz
studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.657750	rick	studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#0_sample#0_liverextract-24	LC-positive mass spectrometry	2017-06-07 14:15:07.657763	louis	assay-name-24_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	positive	20	acquired-data-24_platform-LC_run-0.mzml.gz
studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.657923	rick	studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#1_sample#0_liverextract-26	LC-positive mass spectrometry	2017-06-07 14:15:07.657934	louis	assay-name-26_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	positive	28	acquired-data-26_platform-LC_run-0.mzml.gz
studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.657923	rick	studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#1_sample#0_liverextract-26	LC-positive mass spectrometry	2017-06-07 14:15:07.657998	louis	assay-name-26_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	positive	48	acquired-data-26_platform-LC_run-1.mzml.gz
studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.658061	rick	studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#2_sample#0_liverextract-28	LC-positive mass spectrometry	2017-06-07 14:15:07.658074	louis	assay-name-28_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	positive	72	acquired-data-28_platform-LC_run-0.mzml.gz
studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.658061	rick	studygroup_179f5d8e-d4f7-45d5-9f7e-1d61115fbf74_subject#2_sample#0_liverextract-28	LC-positive mass spectrometry	2017-06-07 14:15:07.658151	louis	assay-name-28_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	positive	61	acquired-data-28_platform-LC_run-1.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.655230	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#0_sample#0_liverextract-0	LC-positive mass spectrometry	2017-06-07 14:15:07.655268	louis	assay-name-0_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	positive	5	acquired-data-0_platform-LC_run-0.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#0_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.655230	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#0_sample#0_liverextract-0	LC-positive mass spectrometry	2017-06-07 14:15:07.655377	louis	assay-name-0_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	positive	81	acquired-data-0_platform-LC_run-1.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.655502	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#1_sample#0_liverextract-2	LC-positive mass spectrometry	2017-06-07 14:15:07.655589	louis	assay-name-2_platform-LC_run-1	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	positive	78	acquired-data-2_platform-LC_run-1.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#1_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.655502	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#1_sample#0_liverextract-2	LC-positive mass spectrometry	2017-06-07 14:15:07.655522	louis	assay-name-2_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	positive	88	acquired-data-2_platform-LC_run-0.mzml.gz
studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#0_liver	metabolite extraction	2017-06-07 14:15:07.655663	rick	studygroup_84023308-e9c1-4c6c-a59d-a41f6d98a9f8_subject#2_sample#0_liverextract-4	LC-positive mass spectrometry	2017-06-07 14:15:07.655676	louis	assay-name-4_platform-LC_run-0	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	LC	Agilent QTOF	positive	89	acquired-data-4_platform-LC_run-0.mzml.gz
