Sample Name	Protocol REF	Extract Name	Protocol REF
buccal_mucosa_XOP1	DNA extraction	buccal_DNA_XOE1	methylation profiling
buccal_mucosa_XOP10	DNA extraction	buccal_DNA_XOE10	methylation profiling
buccal_mucosa_XOP2	DNA extraction	buccal_DNA_XOE2	methylation profiling
buccal_mucosa_XOP3	DNA extraction	buccal_DNA_XOE3	methylation profiling
buccal_mucosa_XOP4	DNA extraction	buccal_DNA_XOE4	methylation profiling
buccal_mucosa_XOP5	DNA extraction	buccal_DNA_XOE5	methylation profiling
buccal_mucosa_XOP6	DNA extraction	buccal_DNA_XOE6	methylation profiling
buccal_mucosa_XOP7	DNA extraction	buccal_DNA_XOE7	methylation profiling
buccal_mucosa_XOP8	DNA extraction	buccal_DNA_XOE8	methylation profiling
buccal_mucosa_XOP9	DNA extraction	buccal_DNA_XOE9	methylation profiling
