"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Scan m/z range]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Native spectrum identifier format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Data file content]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Data file checksum type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Raw data file format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument manufacturer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument software]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of scans]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Time range]"	"Unit"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Parameter Value[Data Transformation software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Injection Order]"	"Term Source REF"	"Term Accession Number"
"CM__QC_media_1"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_media_1"	"cardiomyocytes/RP_C18_positive/QC_media_1.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_media_1.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"1"	""	""
"CM__QC_media_2"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_media_2"	"cardiomyocytes/RP_C18_positive/QC_media_2.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_media_2.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"2"	""	""
"CM__QC_media_3"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_media_3"	"cardiomyocytes/RP_C18_positive/QC_media_3.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_media_3.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"3"	""	""
"CM__QC_media_4"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_media_4"	"cardiomyocytes/RP_C18_positive/QC_media_4.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_media_4.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"4"	""	""
"CM__QC_media_5"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_media_5"	"cardiomyocytes/RP_C18_positive/QC_media_5.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_media_5.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"5"	""	""
"CM__blank_media_start"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"blank_media_start"	"cardiomyocytes/RP_C18_positive/blank_media_start.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/blank_media_start.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"6"	""	""
"CM__QC_media_6"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_media_6"	"cardiomyocytes/RP_C18_positive/QC_media_6.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_media_6.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"7"	""	""
"CM__QC_media_7"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_media_7"	"cardiomyocytes/RP_C18_positive/QC_media_7.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_media_7.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"8"	""	""
"CM__QC_media_8"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_media_8"	"cardiomyocytes/RP_C18_positive/QC_media_8.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_media_8.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"9"	""	""
"CM__QC_media_9"	"Extraction"	""	""	""	""	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	""	""	""	"Hypersil GOLD C18 (1.9 �m, 2.1 mm x 100 mm; Thermo Scientific)"	""	""	"reverse phase"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	"150-2000"	"m/z"	"MS"	"http://purl.obolibrary.org/obo/MS_1000040"	"Thermo Scientific Q Exactive Focus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	"Thermo RAW format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Thermo Fisher Scientific instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000483"	"Xcalibur"	"MS"	"http://purl.obolibrary.org/obo/MS_1000532"	""	""	""	""	""	""	""	"QC_media_9"	"cardiomyocytes/RP_C18_positive/QC_media_9.raw"	"Data transformation"	""	"cardiomyocytes/RP_C18_positive/QC_media_9.mzML"	"Metabolite identification"	"ProteoWizard software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000615"	"MS:Conversion to mzML"	"MS:peak picking"	"m_MTBLS2746_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"	"10"	""	""
