metabolite_identification	database_identifier	chemical_formula	smiles	inchi	mass_to_charge	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	KIT2-0-5404_809697_19_0_1_1_00_755146[arearatio]	KIT2-0-5404_809697_19_0_1_1_00_755146[internalstdretentiontime]	KIT2-0-5404_809697_19_0_1_1_00_755146[relretentiontime]	KIT2-0-5404_809697_19_0_1_1_00_755146[analytes2n]	KIT2-0-5404_809697_19_0_1_1_00_755146[analyteretentiontime]	KIT2-0-5404_809697_19_0_1_1_00_755146[analytepeakarea]	KIT2-0-5404_809697_19_0_1_1_00_755146[accuracy]	KIT2-0-5404_809697_19_0_1_1_00_755146[intensityistd]	KIT2-0-5404_809697_19_0_1_1_00_755146[intensity]	KIT2-0-5404_809697_19_0_1_1_00_755146[concentration]	KIT2-0-5404_809697_19_0_1_1_00_755146[status]	KIT2-0-5404_809697_55_0_1_1_00_746801[arearatio]	KIT2-0-5404_809697_55_0_1_1_00_746801[internalstdretentiontime]	KIT2-0-5404_809697_55_0_1_1_00_746801[relretentiontime]	KIT2-0-5404_809697_55_0_1_1_00_746801[analytes2n]	KIT2-0-5404_809697_55_0_1_1_00_746801[analyteretentiontime]	KIT2-0-5404_809697_55_0_1_1_00_746801[analytepeakarea]	KIT2-0-5404_809697_55_0_1_1_00_746801[accuracy]	KIT2-0-5404_809697_55_0_1_1_00_746801[intensityistd]	KIT2-0-5404_809697_55_0_1_1_00_746801[intensity]	KIT2-0-5404_809697_55_0_1_1_00_746801[concentration]	KIT2-0-5404_809697_55_0_1_1_00_746801[status]	KIT2-0-5404_809697_07_0_1_1_00_755132[arearatio]	KIT2-0-5404_809697_07_0_1_1_00_755132[internalstdretentiontime]	KIT2-0-5404_809697_07_0_1_1_00_755132[relretentiontime]	KIT2-0-5404_809697_07_0_1_1_00_755132[analytes2n]	KIT2-0-5404_809697_07_0_1_1_00_755132[analyteretentiontime]	KIT2-0-5404_809697_07_0_1_1_00_755132[analytepeakarea]	KIT2-0-5404_809697_07_0_1_1_00_755132[accuracy]	KIT2-0-5404_809697_07_0_1_1_00_755132[intensityistd]	KIT2-0-5404_809697_07_0_1_1_00_755132[intensity]	KIT2-0-5404_809697_07_0_1_1_00_755132[concentration]	KIT2-0-5404_809697_07_0_1_1_00_755132[status]	KIT2-0-5404_809697_67_0_1_1_00_746814[arearatio]	KIT2-0-5404_809697_67_0_1_1_00_746814[internalstdretentiontime]	KIT2-0-5404_809697_67_0_1_1_00_746814[relretentiontime]	KIT2-0-5404_809697_67_0_1_1_00_746814[analytes2n]	KIT2-0-5404_809697_67_0_1_1_00_746814[analyteretentiontime]	KIT2-0-5404_809697_67_0_1_1_00_746814[analytepeakarea]	KIT2-0-5404_809697_67_0_1_1_00_746814[accuracy]	KIT2-0-5404_809697_67_0_1_1_00_746814[intensityistd]	KIT2-0-5404_809697_67_0_1_1_00_746814[intensity]	KIT2-0-5404_809697_67_0_1_1_00_746814[concentration]	KIT2-0-5404_809697_67_0_1_1_00_746814[status]	KIT2-0-5404_809697_43_0_1_1_00_746792[arearatio]	KIT2-0-5404_809697_43_0_1_1_00_746792[internalstdretentiontime]	KIT2-0-5404_809697_43_0_1_1_00_746792[relretentiontime]	KIT2-0-5404_809697_43_0_1_1_00_746792[analytes2n]	KIT2-0-5404_809697_43_0_1_1_00_746792[analyteretentiontime]	KIT2-0-5404_809697_43_0_1_1_00_746792[analytepeakarea]	KIT2-0-5404_809697_43_0_1_1_00_746792[accuracy]	KIT2-0-5404_809697_43_0_1_1_00_746792[intensityistd]	KIT2-0-5404_809697_43_0_1_1_00_746792[intensity]	KIT2-0-5404_809697_43_0_1_1_00_746792[concentration]	KIT2-0-5404_809697_43_0_1_1_00_746792[status]	KIT2-0-5404_809697_31_0_1_1_00_746789[arearatio]	KIT2-0-5404_809697_31_0_1_1_00_746789[internalstdretentiontime]	KIT2-0-5404_809697_31_0_1_1_00_746789[relretentiontime]	KIT2-0-5404_809697_31_0_1_1_00_746789[analytes2n]	KIT2-0-5404_809697_31_0_1_1_00_746789[analyteretentiontime]	KIT2-0-5404_809697_31_0_1_1_00_746789[analytepeakarea]	KIT2-0-5404_809697_31_0_1_1_00_746789[accuracy]	KIT2-0-5404_809697_31_0_1_1_00_746789[intensityistd]	KIT2-0-5404_809697_31_0_1_1_00_746789[intensity]	KIT2-0-5404_809697_31_0_1_1_00_746789[concentration]	KIT2-0-5404_809697_31_0_1_1_00_746789[status]
Ala_KIT2-0-5404																	5.81	5.1	1.0		5.12	3750000.0		265000.0	1420000.0	744.0	VALID	5.91	5.11	1.0		5.12	3920000.0		272000.0	1480000.0	756.0	VALID	6.21	5.09	1.0		5.11	3660000.0		246000.0	1430000.0	792.0	VALID	4.24	5.08	1.0		5.09	2840000.0		283000.0	1130000.0	550.0	VALID	5.92	5.09	1.0		5.1	3960000.0		277000.0	1510000.0	758.0	VALID	4.74	5.1	1.0		5.11	2810000.0		241000.0	1120000.0	612.0	VALID
Arg_KIT2-0-5404																	2.85	4.24	1.0		4.24	5620000.0		686000.0	2150000.0	229.0	VALID	2.6	4.24	1.0		4.25	5420000.0		763000.0	2030000.0	204.0	VALID	2.2	4.23	1.0		4.23	4550000.0		771000.0	1670000.0	167.0	VALID	2.07	4.21	1.0		4.21	5090000.0		935000.0	1910000.0	156.0	VALID	2.51	4.22	1.0		4.22	5240000.0		780000.0	2060000.0	196.0	VALID	1.71	4.24	1.0		4.23	3470000.0		757000.0	1260000.0	125.0	VALID
Asn_KIT2-0-5404																	1.47	4.53	1.0		4.53	537000.0		135000.0	190000.0	85.9	VALID	1.92	4.54	1.0		4.54	651000.0		128000.0	241000.0	113.0	VALID	1.45	4.51	1.0		4.52	534000.0		138000.0	185000.0	84.6	VALID	1.06	4.5	1.0		4.5	389000.0		134000.0	148000.0	61.5	VALID	1.4	4.51	1.0		4.51	565000.0		148000.0	222000.0	81.9	VALID	1.27	4.52	1.0		4.52	454000.0		137000.0	161000.0	74.0	VALID
Asp_KIT2-0-5404																	0.13	4.79	1.0		4.81	11200.0		34100.0	4820.0	11.5	VALID	0.08	4.81	1.0		4.82	8510.0		43800.0	3630.0	6.13	VALID	0.09	4.79	1.0		4.79	7240.0		34200.0	2720.0	6.43	VALID	0.09	4.77	1.0		4.78	8840.0		36700.0	3710.0	7.1	VALID	0.11	4.78	1.0		4.8	10200.0		37500.0	3950.0	9.2	VALID	0.29	4.8	1.0		4.8	19500.0		27700.0	7070.0	29.4	VALID
Cit_KIT2-0-5404																	2.2	4.6	1.0		4.6	1250000.0		236000.0	527000.0	92.6	VALID	1.99	4.61	1.0		4.61	1200000.0		246000.0	492000.0	83.4	VALID	1.96	4.58	1.0		4.59	991000.0		208000.0	426000.0	82.2	VALID	1.76	4.57	1.0		4.58	969000.0		236000.0	400000.0	73.6	VALID	1.77	4.58	1.0		4.58	1120000.0		289000.0	479000.0	73.7	VALID	2.18	4.59	1.0		4.6	1130000.0		230000.0	479000.0	91.8	VALID
Gln_KIT2-0-5404																	5.12	4.52	1.0		4.53	5620000.0		430000.0	2120000.0	618.0	VALID	5.31	4.54	1.0		4.54	6010000.0		427000.0	2400000.0	640.0	VALID	5.4	4.51	1.0		4.52	5440000.0		422000.0	2080000.0	652.0	VALID	5.66	4.5	1.0		4.5	6370000.0		441000.0	2270000.0	683.0	VALID	5.09	4.51	1.0		4.52	5520000.0		437000.0	2040000.0	615.0	VALID	6.04	4.52	1.0		4.53	5810000.0		362000.0	2010000.0	728.0	VALID
Glu_KIT2-0-5404																	0.5	4.78	1.0		4.79	142000.0		108000.0	63400.0	50.1	VALID	0.41	4.79	1.0		4.8	116000.0		114000.0	51300.0	40.2	VALID	0.39	4.77	1.0		4.78	91200.0		102000.0	39300.0	38.7	VALID	0.44	4.76	1.0		4.77	114000.0		103000.0	43400.0	43.3	VALID	0.46	4.77	1.0		4.77	143000.0		138000.0	56600.0	45.9	VALID	0.94	4.78	1.0		4.78	220000.0		99700.0	99500.0	94.3	VALID
Gly_KIT2-0-5404																	0.96	4.78	1.0		4.78	4460000.0		1750000.0	1580000.0	381.0	VALID	0.74	4.8	1.0		4.79	4010000.0		1980000.0	1480000.0	288.0	VALID	0.76	4.78	1.0		4.77	3820000.0		1860000.0	1400000.0	297.0	VALID	0.63	4.76	1.0		4.77	3490000.0		1910000.0	1310000.0	242.0	VALID	0.73	4.77	1.0		4.77	3810000.0		1810000.0	1340000.0	284.0	VALID	0.82	4.78	1.0		4.78	3970000.0		1810000.0	1370000.0	320.0	VALID
His_KIT2-0-5404																	1.41	4.12	1.0		4.12	4310000.0		1190000.0	1580000.0	110.0	VALID	1.35	4.11	1.0		4.11	4510000.0		1290000.0	1710000.0	106.0	VALID	1.28	4.11	1.0		4.11	3670000.0		1050000.0	1370000.0	99.9	VALID	1.2	4.08	1.0		4.08	4320000.0		1290000.0	1590000.0	93.4	VALID	1.45	4.09	1.0		4.09	4440000.0		1140000.0	1680000.0	114.0	VALID	1.37	4.11	1.0		4.11	4220000.0		1160000.0	1620000.0	107.0	VALID
Ile_KIT2-0-5404																	0.34	5.92	1.0		5.92	2440000.0		2670000.0	911000.0	195.0	VALID	0.32	5.91	1.0		5.92	2380000.0		2730000.0	874000.0	179.0	VALID	0.29	5.91	1.0		5.91	2080000.0		2640000.0	766000.0	162.0	VALID	0.22	5.9	1.0		5.9	1830000.0		3080000.0	698000.0	119.0	VALID	0.31	5.91	1.0		5.91	2290000.0		2670000.0	859000.0	176.0	VALID	0.37	5.91	1.0		5.91	2500000.0		2450000.0	930000.0	212.0	VALID
