Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[kit name]	Parameter Value[plate ID]	Parameter Value[plate position]	Parameter Value[mass spectrometry instrument]	Term Source REF	Term Accession Number	Parameter Value[acquisition parameter file]	Parameter Value[inlet type]	Term Source REF	Term Accession Number	Parameter Value[polarity]	Term Source REF	Term Accession Number	Parameter Value[run number]	Parameter Value[injection number]	Date	MS Assay Name	Raw Spectral Data File	Protocol REF	Parameter Value[software]	Data Transformation Name	Derived Spectral Data File	
WTC-2	"extraction/derivatization"	"WTC-2"	"KIT3-0-5404"	"Biocrates p180 FIA Part"	"810685"	"19"	ABSciex4000er/4500er eclipse	http://purl.obolibrary.org/obo/MS_1000870	PSI-MSflow infusion acquisition	"KIT3-FIA_pos.dam"	"flow injection analysis"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	"1"	"2015-07-23"	"KIT3-0-5404_810685_19_1_1_SAMPLE_755146_WTC-2"	"KIT3-0-5404_810685_19_1_1_1_00_755146.wiff"	"biocrates analysis"	"MetIQ_5.8.0-DB100-Boron-2644-DB100-2644"	"m_MTBLSXXX_KIT3-0-5404_810685"	"m_MTBLSXXX_KIT3-0-5404_810685_positive_maf.txt"
WTC-5	"extraction/derivatization"	"WTC-5"	"KIT3-0-5404"	"Biocrates p180 FIA Part"	"810685"	"55"	ABSciex4000er/4500er eclipse	http://purl.obolibrary.org/obo/MS_1000870	PSI-MSflow infusion acquisition	"KIT3-FIA_pos.dam"	"flow injection analysis"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	"1"	"2015-07-23"	"KIT3-0-5404_810685_55_1_1_SAMPLE_746801_WTC-5"	"KIT3-0-5404_810685_55_1_1_1_00_746801.wiff"	"biocrates analysis"	"MetIQ_5.8.0-DB100-Boron-2644-DB100-2644"	"m_MTBLSXXX_KIT3-0-5404_810685"	"m_MTBLSXXX_KIT3-0-5404_810685_positive_maf.txt"
WTC-6	"extraction/derivatization"	"WTC-6"	"KIT3-0-5404"	"Biocrates p180 FIA Part"	"810685"	"67"	ABSciex4000er/4500er eclipse	http://purl.obolibrary.org/obo/MS_1000870	PSI-MSflow infusion acquisition	"KIT3-FIA_pos.dam"	"flow injection analysis"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	"1"	"2015-07-23"	"KIT3-0-5404_810685_67_1_1_SAMPLE_746814_WTC-6"	"KIT3-0-5404_810685_67_1_1_1_00_746814.wiff"	"biocrates analysis"	"MetIQ_5.8.0-DB100-Boron-2644-DB100-2644"	"m_MTBLSXXX_KIT3-0-5404_810685"	"m_MTBLSXXX_KIT3-0-5404_810685_positive_maf.txt"
WTC-1	"extraction/derivatization"	"WTC-1"	"KIT3-0-5404"	"Biocrates p180 FIA Part"	"810685"	"7"	ABSciex4000er/4500er eclipse	http://purl.obolibrary.org/obo/MS_1000870	PSI-MSflow infusion acquisition	"KIT3-FIA_pos.dam"	"flow injection analysis"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	"1"	"2015-07-23"	"KIT3-0-5404_810685_7_1_1_SAMPLE_755132_WTC-1"	"KIT3-0-5404_810685_07_1_1_1_00_755132.wiff"	"biocrates analysis"	"MetIQ_5.8.0-DB100-Boron-2644-DB100-2644"	"m_MTBLSXXX_KIT3-0-5404_810685"	"m_MTBLSXXX_KIT3-0-5404_810685_positive_maf.txt"
WTC-4	"extraction/derivatization"	"WTC-4"	"KIT3-0-5404"	"Biocrates p180 FIA Part"	"810685"	"43"	ABSciex4000er/4500er eclipse	http://purl.obolibrary.org/obo/MS_1000870	PSI-MSflow infusion acquisition	"KIT3-FIA_pos.dam"	"flow injection analysis"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	"1"	"2015-07-23"	"KIT3-0-5404_810685_43_1_1_SAMPLE_746792_WTC-4"	"KIT3-0-5404_810685_43_1_1_1_00_746792.wiff"	"biocrates analysis"	"MetIQ_5.8.0-DB100-Boron-2644-DB100-2644"	"m_MTBLSXXX_KIT3-0-5404_810685"	"m_MTBLSXXX_KIT3-0-5404_810685_positive_maf.txt"
WTC-3	"extraction/derivatization"	"WTC-3"	"KIT3-0-5404"	"Biocrates p180 FIA Part"	"810685"	"31"	ABSciex4000er/4500er eclipse	http://purl.obolibrary.org/obo/MS_1000870	PSI-MSflow infusion acquisition	"KIT3-FIA_pos.dam"	"flow injection analysis"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000058"	"positive scan"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	"1"	"2015-07-23"	"KIT3-0-5404_810685_31_1_1_SAMPLE_746789_WTC-3"	"KIT3-0-5404_810685_31_1_1_1_00_746789.wiff"	"biocrates analysis"	"MetIQ_5.8.0-DB100-Boron-2644-DB100-2644"	"m_MTBLSXXX_KIT3-0-5404_810685"	"m_MTBLSXXX_KIT3-0-5404_810685_positive_maf.txt"
WTC-2	"extraction/derivatization"	"WTC-2"	"KIT2-0-5404"	"not reported"	"809697"	"19"	"none reported"			"KIT2-LC_5404.dam"	"liquid chromatography separation"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	"1"	"2015-07-21"	"KIT2-0-5404_809697_19_1_1_SAMPLE_755146_WTC-2"	"KIT2-0-5404_809697_19_0_1_1_00_755146.wiff"	"biocrates analysis"	"MetIQ_5.8.0-DB100-Boron-2644-DB100-2644"	"m_MTBLSXXX_KIT2-0-5404_809697"	"m_MTBLSXXX_KIT2-0-5404_809697_positive_maf.txt"
WTC-5	"extraction/derivatization"	"WTC-5"	"KIT2-0-5404"	"not reported"	"809697"	"55"	"none reported"			"KIT2-LC_5404.dam"	"liquid chromatography separation"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	"1"	"2015-07-21"	"KIT2-0-5404_809697_55_1_1_SAMPLE_746801_WTC-5"	"KIT2-0-5404_809697_55_0_1_1_00_746801.wiff"	"biocrates analysis"	"MetIQ_5.8.0-DB100-Boron-2644-DB100-2644"	"m_MTBLSXXX_KIT2-0-5404_809697"	"m_MTBLSXXX_KIT2-0-5404_809697_positive_maf.txt"
WTC-1	"extraction/derivatization"	"WTC-1"	"KIT2-0-5404"	"not reported"	"809697"	"7"	"none reported"			"KIT2-LC_5404.dam"	"liquid chromatography separation"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	"1"	"2015-07-21"	"KIT2-0-5404_809697_7_1_1_SAMPLE_755132_WTC-1"	"KIT2-0-5404_809697_07_0_1_1_00_755132.wiff"	"biocrates analysis"	"MetIQ_5.8.0-DB100-Boron-2644-DB100-2644"	"m_MTBLSXXX_KIT2-0-5404_809697"	"m_MTBLSXXX_KIT2-0-5404_809697_positive_maf.txt"
WTC-6	"extraction/derivatization"	"WTC-6"	"KIT2-0-5404"	"not reported"	"809697"	"67"	"none reported"			"KIT2-LC_5404.dam"	"liquid chromatography separation"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1002271"	"positive scan"	"PSI-MS"	"http://purl.obolibrary.org/obo/MS_1000129"	"1"	"1"	"2015-07-21"	"KIT2-0-5404_809697_67_1_1_SAMPLE_746814_WTC-6"	"KIT2-0-5404_809697_67_0_1_1_00_746814.wiff"	"biocrates analysis"	"MetIQ_5.8.0-DB100-Boron-2644-DB100-2644"	"m_MTBLSXXX_KIT2-0-5404_809697"	"m_MTBLSXXX_KIT2-0-5404_809697_positive_maf.txt"
